date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude
September-11-2019,condo,260 Beacon St #104,Somerville,02143,815000,1,1,Somerville,1073,,2018,298,http://www.redfin.com/MA/Somerville/260-Beacon-St-02143/unit-104/home/147037479,72394429,42.3823048,-71.1119401
September-11-2019,townhouse,384 Windsor St Unit 2,Cambridge,02141,880000,2,2,Kendall Square,956,,1920,275,http://www.redfin.com/MA/Cambridge/384-Windsor-St-02141/unit-2/home/167185324,72530788,42.3704261,-71.0939363
September-12-2019,condo,975 Memorial Dr #408,Cambridge,02138,2100000,1,1.5,Harvard Square,1105,,1986,1215,http://www.redfin.com/MA/Cambridge/975-Memorial-Dr-02138/unit-408/home/11574769,72532033,42.3716982,-71.1236136
September-12-2019,condo,1 Crawford St #8,Cambridge,02139,650000,1,1,Mid Cambridge,600,,1930,362,http://www.redfin.com/MA/Cambridge/1-Crawford-St-02139/unit-8/home/11564925,72549707,42.3710164,-71.107424
September-13-2019,condo,30 Howard St #4,Somerville,02144,762000,1,1,Davis Square,889,,2004,433,http://www.redfin.com/MA/Somerville/30-Howard-St-02144/unit-4/home/25688710,72517226,42.3977118,-71.126094
September-13-2019,condo,260 Beacon St #101,Somerville,02143,839000,1,1,Inman Square,1070,,2019,297,http://www.redfin.com/MA/Somerville/260-Beacon-St-02143/unit-101/home/148025749,72420013,42.3823048,-71.1119401
September-13-2019,multifamily,64 Richdale Ave,Cambridge,02140,1100000,3,2.5,Porter Square,1955,3400,1870,,http://www.redfin.com/MA/Cambridge/64-Richdale-Ave-02140/home/11583824,72514644,42.388465,-71.1233828
September-16-2019,condo,39 Henderson St #39,Arlington,02474,689900,2,1.5,Arlington,1362,,1880,135,http://www.redfin.com/MA/Arlington/39-Henderson-St-02474/unit-39/home/167109892,72521206,42.4030953,-71.1361018
September-16-2019,condo,31 Wheeler St #303,Cambridge,02138,770000,2,2,Cambridge,1149,,2007,396,http://www.redfin.com/MA/Cambridge/31-Wheeler-St-02138/unit-303/home/28439882,72536105,42.3892154,-71.1443072
September-16-2019,condo,2 Earhart St #1002,Cambridge,02141,735000,1,1,East Cambridge,769,,2006,583,http://www.redfin.com/MA/Cambridge/2-Earhart-St-02141/unit-1002/home/28439454,72518509,42.3710291,-71.0742575
September-16-2019,multifamily,372-378 Washington St,Cambridge,02139,3750000,16,9,Cambridge,7952,2485,1900,,http://www.redfin.com/MA/Cambridge/372-Washington-St-02139/home/55737173,72515800,42.3656066,-71.0998749
September-16-2019,multifamily,6-8 Goodman Rd,Cambridge,02138,1700000,5,2.5,Cambridge,2268,3250,1923,,http://www.redfin.com/MA/Cambridge/6-Goodman-Rd-02139/home/167643103,72536971,42.3715585,-71.1081608
September-16-2019,singlefamily,60 Market St,Cambridge,02139,1160000,4,2,Cambridge,1418,1466,1886,,http://www.redfin.com/MA/Cambridge/60-Market-St-02139/home/11557658,72544726,42.3690354,-71.0972822
September-16-2019,townhouse,88 Hammond St Unit B,Cambridge,02138,1275000,3,2,Agassiz,1580,,1920,410,http://www.redfin.com/MA/Cambridge/88-Hammond-St-02138/unit-B/home/12548946,72530759,42.3813029,-71.1132534
September-17-2019,condo,20 Maple Ave #2,Cambridge,02139,585000,1,1,Cambridge,607,15000,1880,374,http://www.redfin.com/MA/Cambridge/20-Maple-Ave-02139/unit-2/home/11564000,72500345,42.3718433,-71.1049929
